,State,Registration Required,Permit to Carry Required,Permit to Purchase Required,Open Carry is Legal,Number of Registered Weapons,Incident Date,City Or County,Address,# Killed,# Injured
59,California,True,True,True,,"376,666",27-Dec-19,Modesto,1900 block of Vernon Ave,1.0,3.0
60,California,True,True,True,,"376,666",25-Dec-19,Oakland,2100 block of 34th Ave,0.0,4.0
61,California,True,True,True,,"376,666",14-Dec-19,Ivanhoe,15700 block of Paradise Ave,0.0,4.0
62,California,True,True,True,,"376,666",24-Nov-19,Los Angeles,100 block of E 11th St,0.0,6.0
63,California,True,True,True,,"376,666",23-Nov-19,Los Angeles,833 S Spring St,0.0,4.0
64,California,True,True,True,,"376,666",21-Nov-19,Long Beach,1100 block of 10th St,0.0,5.0
65,California,True,True,True,,"376,666",20-Nov-19,Richmond,20th St and Roosevelt Ave,0.0,4.0
66,California,True,True,True,,"376,666",17-Nov-19,Fresno,5361 E Lamona Ave,4.0,6.0
67,California,True,True,True,,"376,666",16-Nov-19,San Diego,2152 Flintridge Dr,6.0,0.0
68,California,True,True,True,,"376,666",14-Nov-19,Santa Clarita,21900 Centurion Way,3.0,3.0
69,California,True,True,True,,"376,666",31-Oct-19,Orinda,114 Lucille Way,5.0,3.0
70,California,True,True,True,,"376,666",29-Oct-19,Long Beach,2709 E 7th St,3.0,9.0
71,California,True,True,True,,"376,666",18-Sep-19,Wilmington,800 block of Bayview Ave,2.0,2.0
72,California,True,True,True,,"376,666",14-Sep-19,Oakland,38th Ave and MacArthur Blvd,1.0,4.0
73,California,True,True,True,,"376,666",22-Aug-19,Los Angeles,300 block of West Fifth St,0.0,4.0
74,California,True,True,True,,"376,666",10-Aug-19,San Francisco,1100 Fillmore St,0.0,4.0
75,California,True,True,True,,"376,666",28-Jul-19,Gilroy,7050 Miller Ave,4.0,17.0
76,California,True,True,True,,"376,666",25-Jul-19,Canoga Park,21901 Roscoe Boulevard,4.0,2.0
77,California,True,True,True,,"376,666",6-Jul-19,San Jose,3036 Quinto Way,0.0,4.0
78,California,True,True,True,,"376,666",4-Jul-19,Los Angeles,1900 block of Adair St,0.0,4.0
79,California,True,True,True,,"376,666",4-Jul-19,Fresno,4700 block of E Hamilton Ave,1.0,3.0
80,California,True,True,True,,"376,666",30-Jun-19,Oakland,3000 block of Brookdale Ave,0.0,4.0
81,California,True,True,True,,"376,666",30-Jun-19,Yucaipa,12700 block of California St,0.0,5.0
82,California,True,True,True,,"376,666",23-Jun-19,La Jolla,7500 block of Draper Ave,1.0,3.0
83,California,True,True,True,,"376,666",23-Jun-19,San Jose,568 Habbitts Court,5.0,0.0
84,California,True,True,True,,"376,666",21-Jun-19,Santa Maria,519  West Taylor St,5.0,0.0
85,California,True,True,True,,"376,666",21-Jun-19,Richmond,700 block of 14th St,0.0,5.0
86,California,True,True,True,,"376,666",5-Jun-19,Santa Rosa,828 W 9th Street,0.0,4.0
87,California,True,True,True,,"376,666",31-May-19,West Covina,306 N Hollow Ave,1.0,3.0
